,Unnamed: 0,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
99,101,Hyundai i20 Asta 1.2,2014,30180,Petrol,Manual,1,18.5,1197.0,82.85,5.0,4.65
100,102,Datsun GO Plus T Petrol,2017,32851,Petrol,Manual,1,19.83,1198.0,67.0,7.0,3.95
101,103,Audi A4 3.0 TDI Quattro Premium,2010,30000,Diesel,Automatic,1,14.94,2967.0,241.4,5.0,9.8
102,104,Hyundai i20 2015-2017 Asta,2009,66000,Petrol,Manual,2,17.0,1197.0,80.0,5.0,2.7
103,105,Maruti Omni 5 Str STD,2010,93850,Petrol,Manual,1,14.0,796.0,35.0,5.0,2.41
104,106,Toyota Etios Liva 1.2 G,2014,53000,Petrol,Manual,1,17.71,1197.0,78.9,5.0,3.9
105,107,Jaguar XF 3.0 Litre S Premium Luxury,2011,78000,Diesel,Automatic,2,14.74,2993.0,270.9,5.0,24.0
106,108,Mahindra XUV500 W8 2WD,2012,65000,Diesel,Manual,2,16.0,2179.0,140.0,7.0,5.75
107,109,Hyundai Verna 1.6 SX CRDI (O) AT,2014,40000,Diesel,Automatic,1,22.32,1582.0,126.32,5.0,5.25
108,110,Toyota Innova Crysta 2.8 ZX AT,2017,30000,Diesel,Automatic,1,11.36,2755.0,171.5,7.0,19.25
109,111,Maruti Eeco 5 Seater AC,2017,38053,Petrol,Manual,1,15.1,1196.0,73.0,5.0,3.91
110,112,Tata Nano Twist XT,2014,25500,Petrol,Manual,1,25.4,624.0,37.5,4.0,2.15
111,113,BMW 3 Series 320d Luxury Line,2015,56087,Diesel,Automatic,1,22.69,1995.0,190.0,5.0,20.75
112,114,Honda Civic 2006-2010 1.8 V MT,2010,71088,Petrol,Manual,1,13.5,1799.0,130.0,5.0,3.35
113,115,Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,55000,Diesel,Manual,1,12.99,2494.0,100.6,7.0,11.11
114,116,Volvo V40 Cross Country D3,2014,32700,Diesel,Automatic,1,23.3,1984.0,150.0,5.0,20.0
115,117,Nissan Micra XV CVT,2016,39882,Petrol,Automatic,1,19.15,1198.0,75.94,5.0,6.55
116,118,BMW 5 Series 2010-2013 525i,2009,128000,Petrol,Automatic,1,10.8,2497.0,215.0,5.0,7.0
117,119,Maruti Vitara Brezza VDi,2016,55000,Diesel,Manual,1,24.3,1248.0,88.5,5.0,7.5
118,120,Hyundai Santro Xing XL eRLX Euro III,2005,102000,Petrol,Manual,2,17.0,1086.0,113.82763389013172,5.0,0.85
119,121,Mercedes-Benz B Class B200 CDI,2014,53753,Diesel,Automatic,2,15.0,2143.0,107.3,5.0,16.75
120,122,Hyundai Verna CRDi 1.6 SX Option,2018,10250,Diesel,Manual,1,22.0,1582.0,126.2,5.0,10.95
121,123,Maruti Wagon R LXI BS IV,2011,43874,Petrol,Manual,1,18.9,998.0,67.1,5.0,2.45
122,124,Tata Nano XTA,2017,32684,Petrol,Automatic,1,21.9,624.0,37.48,4.0,3.23
123,125,Mahindra Scorpio VLX,2014,42000,Diesel,Manual,1,12.05,2179.0,120.0,8.0,7.75
124,126,Mercedes-Benz New C-Class 200 K AT,2009,28352,Petrol,Automatic,1,11.7,1796.0,178.0,5.0,9.35
125,128,Honda CR-V 2.4 MT,2007,47700,Petrol,Manual,2,10.8,2354.0,152.0,5.0,5.25
126,129,Volkswagen Vento 1.5 TDI Comfortline AT,2015,55000,Diesel,Automatic,1,21.21,1498.0,103.2,5.0,7.25
127,130,Maruti Ciaz VXi Plus,2017,44285,Petrol,Manual,1,20.73,1373.0,91.1,5.0,7.47
128,131,Mahindra XUV500 AT W10 FWD,2016,54000,Diesel,Automatic,1,16.0,2179.0,140.0,7.0,13.25
129,132,Maruti Ritz VXI ABS,2016,30232,Petrol,Manual,1,21.1,1197.0,85.8,5.0,5.81
130,133,Maruti Alto K10 VXI,2014,88500,Petrol,Manual,1,24.07,998.0,67.1,5.0,2.6
131,134,Mercedes-Benz SLC 43 AMG,2017,13372,Petrol,Automatic,1,19.0,2996.0,362.07,2.0,54.0
132,135,Hyundai Verna VTVT 1.6 AT SX Plus,2019,12645,Petrol,Automatic,1,17.0,1591.0,121.3,5.0,11.5
133,136,Maruti Alto LXi BSIII,2010,94385,Petrol,Manual,2,19.7,796.0,46.3,5.0,1.6
134,137,BMW 1 Series 118d Base,2015,31821,Diesel,Automatic,1,20.58,1995.0,143.0,5.0,17.22
135,138,Honda Jazz 1.2 V CVT i VTEC,2015,12000,Petrol,Automatic,1,19.0,1199.0,88.7,5.0,6.0
136,139,Honda Civic 2006-2010 1.8 V MT,2012,88578,Petrol,Manual,1,13.5,1799.0,130.0,5.0,3.95
137,140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,44965,Diesel,Automatic,1,19.27,2143.0,170.0,5.0,17.95
138,141,Honda Amaze SX i-DTEC,2014,45044,Diesel,Manual,1,25.8,1498.0,98.6,5.0,3.7
139,142,Maruti Swift VVT VXI,2016,34204,Petrol,Manual,1,22.0,1197.0,81.8,5.0,5.43
140,143,Hyundai Santro Xing XO eRLX Euro II,2008,80759,Petrol,Manual,3,17.0,1086.0,113.82763389013172,5.0,1.67
141,144,Toyota Fortuner 3.0 Diesel,2012,91235,Diesel,Manual,1,11.5,2982.0,171.0,7.0,13.49
142,145,Chevrolet Beat LT Option,2014,38800,Petrol,Manual,1,18.6,1199.0,76.8,5.0,2.85
143,146,Skoda Rapid 1.5 TDI Elegance,2013,83000,Diesel,Manual,1,21.14,1498.0,103.52,5.0,4.75
144,147,Maruti Ciaz 1.4 Alpha,2018,41283,Petrol,Manual,1,20.73,1373.0,91.1,5.0,9.9
145,148,Audi RS5 Coupe,2013,23000,Petrol,Automatic,1,11.05,2894.0,444.0,4.0,37.0
146,149,BMW 3 Series Luxury Line,2014,48000,Diesel,Automatic,1,21.76,1995.0,190.0,5.0,26.5
147,150,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,48214,Diesel,Automatic,1,17.11,1968.0,174.33,5.0,23.32
148,151,Maruti Swift VDI,2016,35000,Diesel,Manual,1,22.9,1248.0,74.0,5.0,6.25
149,152,Mercedes-Benz S Class 2005 2013 S 500,2010,35277,Petrol,Automatic,1,7.81,5461.0,362.9,5.0,30.0
150,153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,2016,54620,Diesel,Automatic,1,21.66,1498.0,103.52,5.0,9.86
151,154,Skoda Superb Elegance 2.0 TDI CR AT,2012,136997,Diesel,Automatic,1,17.2,1968.0,138.1,5.0,8.5
152,155,Hyundai EON Magna Plus,2019,14322,Petrol,Manual,1,21.1,814.0,55.2,5.0,4.23
153,156,Volkswagen Polo Diesel Trendline 1.2L,2012,65634,Diesel,Manual,1,22.07,1199.0,73.9,5.0,3.5
154,157,Datsun GO NXT,2016,6000,Petrol,Manual,1,20.63,1198.0,67.06,5.0,2.5
155,158,Honda Brio S MT,2013,33280,Petrol,Manual,1,19.4,1198.0,86.8,5.0,2.39
156,159,Mercedes-Benz B Class B180,2013,29000,Petrol,Automatic,1,14.8,1595.0,120.7,5.0,11.25
157,160,Honda City i DTEC V,2015,42831,Diesel,Manual,1,26.0,1498.0,98.6,5.0,7.11
158,161,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,90000,Diesel,Manual,1,12.99,2494.0,100.6,7.0,10.9
159,162,Maruti Swift VXI Optional,2017,24005,Petrol,Manual,1,20.4,1197.0,81.8,5.0,6.2
160,163,Mahindra XUV500 W8 2WD,2012,32792,Diesel,Manual,1,15.1,2179.0,140.0,7.0,7.9
161,164,Ford Ecosport 1.5 DV5 MT Ambiente,2014,147898,Diesel,Manual,1,22.7,1498.0,89.84,5.0,4.42
162,165,Toyota Fortuner 4x2 Manual,2012,131765,Diesel,Manual,1,13.0,2982.0,168.5,7.0,13.5
163,166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2013,65000,Diesel,Automatic,1,21.5,1498.0,108.5,5.0,6.25
164,167,Ford Figo Diesel Titanium,2010,66123,Diesel,Manual,2,20.0,1399.0,68.0,5.0,2.1
165,168,BMW X5 xDrive 30d,2015,41000,Diesel,Automatic,1,15.3,2993.0,258.0,5.0,45.0
166,169,Mercedes-Benz New C-Class C 220 CDI Style,2017,23550,Diesel,Automatic,1,19.27,2143.0,167.62,5.0,33.66
167,170,Honda Brio V MT,2012,45000,Petrol,Manual,2,19.4,1198.0,86.8,5.0,3.65
168,171,Hyundai i10 Magna 1.2,2013,60000,Petrol,Manual,1,20.36,1197.0,78.9,5.0,2.75
169,172,Mercedes-Benz GLC 220,2016,44414,Diesel,Automatic,1,17.9,2143.0,170.0,5.0,42.5
170,173,Hyundai Grand i10 1.2 Kappa Asta,2019,1000,Petrol,Manual,1,18.9,1197.0,81.86,5.0,6.5
171,174,Audi A6 2011-2015 2.0 TDI Premium Plus,2012,62500,Diesel,Automatic,2,17.68,1968.0,174.33,5.0,19.0
172,175,Volkswagen Vento Petrol Highline AT,2013,21000,Petrol,Automatic,2,14.4,1598.0,103.6,5.0,4.45
173,176,Mini Countryman Cooper D,2017,8525,Diesel,Automatic,2,16.6,1998.0,112.0,5.0,23.0
174,177,Hyundai i20 Asta 1.4 CRDi,2014,29000,Diesel,Manual,1,22.54,1396.0,88.73,5.0,8.35
175,178,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,40000,Diesel,Automatic,1,17.68,1968.0,174.33,5.0,22.95
176,179,Chevrolet Beat Diesel LT,2012,88000,Diesel,Manual,1,25.44,936.0,57.6,5.0,1.5
177,180,Skoda Superb Elegance 1.8 TSI AT,2012,53537,Petrol,Automatic,1,13.7,1798.0,157.75,5.0,6.89
178,181,Ford Fiesta 1.4 TDCi EXI Limited Edition,2006,216000,Diesel,Manual,2,17.8,1399.0,68.0,5.0,1.45
179,182,BMW 5 Series 520d Luxury Line,2014,51000,Diesel,Automatic,1,22.48,1995.0,190.0,5.0,33.5
180,183,Chevrolet Optra Magnum 1.6 LS BS3,2007,118500,Petrol,Manual,1,12.9,1598.0,102.5,5.0,1.25
181,184,Volkswagen Polo Diesel Highline 1.2L,2012,63000,Diesel,Manual,1,22.07,1199.0,73.9,5.0,4.2
182,185,Renault Lodgy 110PS RxZ 8 Seater,2015,25000,Diesel,Manual,1,19.98,1461.0,108.5,8.0,6.75
183,186,Mercedes-Benz E-Class E250 CDI Avantgrade,2014,37382,Diesel,Automatic,1,13.0,2143.0,201.1,5.0,32.0
184,187,Maruti Baleno Alpha,2017,24773,Petrol,Manual,1,21.4,1197.0,83.1,5.0,7.5
185,188,Hyundai Verna 1.6 SX,2012,62000,Diesel,Manual,1,22.32,1582.0,126.32,5.0,4.6
186,189,Hyundai i10 Magna 1.1,2017,52340,Petrol,Manual,1,19.81,1086.0,68.05,5.0,4.04
187,190,Mahindra Scorpio 1.99 S10 4WD,2016,56739,Diesel,Manual,1,15.4,1997.0,120.0,7.0,10.31
188,191,Land Rover Range Rover 2.2L Dynamic,2018,36091,Diesel,Automatic,1,12.7,2179.0,187.7,5.0,55.76
189,192,Ford Figo Diesel ZXI,2010,120000,Diesel,Manual,1,20.0,1399.0,68.0,5.0,2.6
190,193,Maruti Ertiga ZDI,2016,33000,Diesel,Manual,1,25.47,1248.0,88.5,7.0,8.5
191,195,Honda Amaze S i-Dtech,2014,52000,Diesel,Manual,1,25.8,1498.0,98.6,5.0,3.5
192,196,Hyundai i10 Magna,2015,43571,Petrol,Manual,1,20.36,1197.0,78.9,5.0,3.55
193,197,Honda Amaze S i-Dtech,2013,50000,Diesel,Manual,1,25.8,1498.0,98.6,5.0,3.25
194,198,Skoda Laura Ambiente,2008,113000,Diesel,Manual,1,17.5,1896.0,106.0,5.0,4.5
195,199,Renault Duster 85PS Diesel RxL,2014,90000,Diesel,Manual,1,19.87,1461.0,83.8,5.0,5.35
196,200,Mahindra NuvoSport N6,2017,29000,Diesel,Manual,2,17.45,1493.0,100.0,7.0,6.5
197,201,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,20000,Diesel,Manual,1,24.3,1248.0,88.5,5.0,9.0
198,202,Hyundai i20 Asta Option 1.2,2016,61012,Petrol,Manual,1,18.6,1197.0,81.83,5.0,6.0
199,203,Skoda Fabia 1.4 MPI Ambiente,2009,87459,Petrol,Manual,1,14.7,1390.0,85.0,5.0,2.75
200,204,Tata Indigo eCS GLX,2010,70500,Petrol,Manual,1,15.64,1193.0,64.1,5.0,1.5
201,205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,2015,64103,Diesel,Automatic,1,15.73,1968.0,174.33,5.0,19.9
202,206,Skoda Octavia Elegance 1.8 TSI AT,2014,76000,Petrol,Automatic,1,14.7,1798.0,177.5,5.0,10.0
203,207,Toyota Etios Liva GD SP,2014,104000,Diesel,Manual,1,23.59,1364.0,67.06,5.0,3.0
204,209,Mercedes-Benz B Class B180,2014,37245,Petrol,Automatic,1,14.8,1595.0,120.7,5.0,11.96
205,210,Honda Amaze S Diesel,2013,45000,Diesel,Manual,1,27.4,1498.0,98.6,5.0,3.25
206,211,Hyundai Verna 1.6 SX,2012,117837,Diesel,Manual,2,22.32,1582.0,126.32,5.0,4.75
207,212,Renault Duster 85PS Diesel RxL Optional,2014,30000,Diesel,Manual,1,20.46,1461.0,83.8,5.0,5.95
208,213,Hyundai Creta 1.6 VTVT S,2015,27057,Petrol,Manual,2,15.29,1591.0,121.3,5.0,8.15
209,214,Maruti Wagon R AMT VXI,2016,8500,Petrol,Automatic,1,20.51,998.0,67.0,5.0,4.22
210,215,Mercedes-Benz New C-Class C250 Avantgarde,2010,30500,Petrol,Automatic,1,11.74,1796.0,186.0,5.0,10.5
211,216,Audi A8 L 3.0 TDI quattro,2012,56000,Diesel,Automatic,1,11.8,2967.0,246.7,5.0,45.0
212,217,Hyundai i10 Magna 1.1,2012,44000,Petrol,Manual,2,19.81,1086.0,68.05,5.0,2.9
213,218,Skoda Rapid 1.6 MPI AT Style Black Package,2017,10500,Petrol,Automatic,1,14.3,1598.0,103.52,5.0,8.9
214,219,Skoda Superb Style 1.8 TSI AT,2017,26000,Petrol,Automatic,1,14.67,1798.0,177.46,5.0,26.0
215,220,Hyundai i20 Active 1.2 SX,2018,25166,Petrol,Manual,1,17.19,1197.0,81.86,5.0,8.22
216,221,Honda Amaze VX i-DTEC,2014,64000,Diesel,Manual,2,25.8,1498.0,98.6,5.0,3.5
217,222,Maruti Wagon R LXI,2004,61000,Petrol,Manual,2,18.9,998.0,67.1,5.0,1.25
218,223,Mahindra Verito 1.5 D4 BSIV,2013,107000,Diesel,Manual,1,21.03,1461.0,65.0,5.0,3.7
219,224,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,29161,Diesel,Automatic,1,19.27,2143.0,167.62,5.0,39.41
220,225,Maruti Wagon R VXI,2013,32000,Petrol,Manual,1,22.5,998.0,67.04,5.0,2.65
221,226,Nissan Terrano XV Premium 110 PS Anniversary Edition,2015,46173,Diesel,Manual,2,19.01,1461.0,108.5,5.0,8.92
222,227,Maruti Swift VDI BSIV,2013,47000,Diesel,Manual,1,17.8,1248.0,113.82763389013172,5.0,4.1
223,228,Mini Cooper Convertible S,2017,26327,Petrol,Automatic,1,16.82,1998.0,189.08,4.0,35.67
224,230,Tata Indica V2 DLS BSII,2007,200000,Diesel,Manual,2,17.2,1396.0,53.5,5.0,0.85
225,231,Chevrolet Beat LT,2016,60813,Petrol,Manual,2,18.6,1199.0,76.8,5.0,3.32
226,232,Volkswagen Polo Diesel Comfortline 1.2L,2012,45000,Diesel,Manual,1,22.07,1199.0,73.9,5.0,3.6
227,233,Maruti Swift ZDi,2016,64000,Diesel,Manual,1,22.9,1248.0,74.0,5.0,6.8
